time,source,destination,protocol,length,caplen,hlen,version,output 
1473407306122,0.0.0.0,0.0.0.0,Arp,60,60,6,00
1473407306127,0.0.0.0,0.0.0.0,Arp,60,60,6,00
1473407306140,0.0.0.0,0.0.0.0,Arp,60,60,6,00
1473407306150,0.0.0.0,0.0.0.0,Arp,60,60,6,00
1473407306205,0.0.0.0,0.0.0.0,Arp,60,60,6,00
1473407306207,0.0.0.0,0.0.0.0,Arp,60,60,6,00
1473407306207,0.0.0.0,0.0.0.0,Arp,60,60,6,00
1473407306209,0.0.0.0,0.0.0.0,Arp,60,60,6,00
1473407306213,0.0.0.0,0.0.0.0,Icmp,60,60,8,00
1473407306236,0.0.0.0,0.0.0.0,Arp,60,60,6,00
1473407306270,0.0.0.0,0.0.0.0,Arp,60,60,6,00
1473407306272,0.0.0.0,0.0.0.0,Arp,60,60,6,00
1473407306307,0.0.0.0,0.0.0.0,Arp,60,60,6,00
1473407306437,0.0.0.0,0.0.0.0,Arp,60,60,6,00
1473407306470,0.0.0.0,0.0.0.0,Arp,60,60,6,00
1473407306494,0.0.0.0,0.0.0.0,Icmp,60,60,8,00
1473407306527,0.0.0.0,0.0.0.0,Arp,60,60,6,00
1473407306527,0.0.0.0,0.0.0.0,Icmp,60,60,8,00
1473407306571,137,137,Udp,92,92,8,00
1473407306571,64287,5355,Udp,64,64,8,00
1473407306597,0.0.0.0,0.0.0.0,Arp,60,60,6,00
1473407306627,0.0.0.0,0.0.0.0,Arp,60,60,6,00
1473407306662,0.0.0.0,0.0.0.0,Arp,60,60,6,00
1473407306702,0.0.0.0,0.0.0.0,Arp,60,60,6,00
1473407306750,0.0.0.0,0.0.0.0,Arp,60,60,6,00
1473407306759,0.0.0.0,0.0.0.0,Arp,60,60,6,00
1473407306759,63032,5355,Udp,95,95,8,00
1473407306762,0.0.0.0,0.0.0.0,Arp,60,60,6,00
1473407306782,137,137,Udp,92,92,8,00
1473407306782,57561,5355,Udp,75,75,8,00
1473407306782,51781,5355,Udp,75,75,8,00
1473407306815,58030,1900,Udp,216,216,8,00
1473407306836,0.0.0.0,0.0.0.0,Arp,60,60,6,00
1473407306837,0.0.0.0,0.0.0.0,Arp,60,60,6,00
1473407306856,0.0.0.0,0.0.0.0,Icmp,98,98,8,00
1473407306857,0.0.0.0,0.0.0.0,Arp,60,60,6,00
1473407306859,63032,5355,Udp,95,95,8,00
1473407306862,63418,5355,Udp,72,72,8,00
1473407306863,59314,5355,Udp,72,72,8,00
1473407306869,63028,5355,Udp,72,72,8,00
1473407306869,56221,5355,Udp,72,72,8,00
1473407306890,52357,5355,Udp,72,72,8,00
1473407306891,62342,5355,Udp,72,72,8,00
1473407306944,53473,5355,Udp,72,72,8,00
1473407306945,56821,5355,Udp,72,72,8,00
1473407306947,0.0.0.0,0.0.0.0,Icmp,98,98,8,00
1473407306982,64287,5355,Udp,64,64,8,00
1473407307017,0.0.0.0,0.0.0.0,Arp,60,60,6,00
1473407307030,0.0.0.0,0.0.0.0,Arp,60,60,6,00
1473407307039,0.0.0.0,0.0.0.0,Icmp,98,98,8,00
1473407307057,0.0.0.0,0.0.0.0,Arp,60,60,6,00
1473407307061,137,137,Udp,92,92,8,00
1473407307117,0.0.0.0,0.0.0.0,Arp,60,60,6,00
1473407307127,0.0.0.0,0.0.0.0,Arp,60,60,6,00
1473407307184,0.0.0.0,0.0.0.0,Arp,60,60,6,00
1473407307185,0.0.0.0,0.0.0.0,Arp,60,60,6,00
1473407307186,0.0.0.0,0.0.0.0,Arp,60,60,6,00
1473407307186,0.0.0.0,0.0.0.0,Arp,60,60,6,00
1473407307200,0.0.0.0,0.0.0.0,Arp,60,60,6,00
1473407307200,0.0.0.0,0.0.0.0,Arp,60,60,6,00
1473407307201,57561,5355,Udp,75,75,8,00
1473407307202,51781,5355,Udp,75,75,8,00
1473407307207,0.0.0.0,0.0.0.0,Arp,60,60,6,00
1473407307207,0.0.0.0,0.0.0.0,Arp,60,60,6,00
1473407307216,0.0.0.0,0.0.0.0,Arp,60,60,6,00
1473407307230,0.0.0.0,0.0.0.0,Arp,60,60,6,00
1473407307267,0.0.0.0,0.0.0.0,Arp,60,60,6,00
1473407307270,0.0.0.0,0.0.0.0,Arp,60,60,6,00
1473407307321,137,137,Udp,92,92,8,00
1473407307354,0.0.0.0,0.0.0.0,Arp,60,60,6,00
1473407307372,0.0.0.0,0.0.0.0,Arp,60,60,6,00
1473407307378,137,137,Udp,92,92,8,00
1473407307378,50507,5355,Udp,75,75,8,00
1473407307378,60768,5355,Udp,75,75,8,00
1473407307408,138,138,Udp,291,291,8,00
1473407307408,137,137,Udp,92,92,8,00
1473407307422,0.0.0.0,0.0.0.0,Arp,60,60,6,00
1473407307461,0.0.0.0,0.0.0.0,Arp,60,60,6,00
1473407307470,0.0.0.0,0.0.0.0,Arp,60,60,6,00
1473407307532,0.0.0.0,0.0.0.0,Arp,60,60,6,00
1473407307546,137,137,Udp,92,92,8,00
1473407307550,0.0.0.0,0.0.0.0,Arp,60,60,6,00
1473407307562,0.0.0.0,0.0.0.0,Arp,60,60,6,00
1473407307578,0.0.0.0,0.0.0.0,Icmp,60,60,8,00
1473407307592,0.0.0.0,0.0.0.0,Arp,60,60,6,00
1473407307597,0.0.0.0,0.0.0.0,Arp,60,60,6,00
1473407307627,0.0.0.0,0.0.0.0,Arp,60,60,6,00
1473407307697,0.0.0.0,0.0.0.0,Arp,60,60,6,00
1473407307710,0.0.0.0,0.0.0.0,Icmp,60,60,8,00
1473407307730,57680,1900,Udp,175,175,8,00
1473407307750,0.0.0.0,0.0.0.0,Arp,60,60,6,00
1473407307750,0.0.0.0,0.0.0.0,Arp,60,60,6,00
1473407307760,0.0.0.0,0.0.0.0,Arp,60,60,6,00
1473407307772,0.0.0.0,0.0.0.0,Icmp,98,98,8,00
1473407307795,50507,5355,Udp,75,75,8,00
1473407307795,60768,5355,Udp,75,75,8,00
1473407307811,137,137,Udp,92,92,8,00
1473407307835,0.0.0.0,0.0.0.0,Arp,60,60,6,00
1473407307838,0.0.0.0,0.0.0.0,Arp,60,60,6,00
1473407307857,0.0.0.0,0.0.0.0,Arp,60,60,6,00
1473407307910,0.0.0.0,0.0.0.0,Icmp,60,60,8,00
1473407307997,0.0.0.0,0.0.0.0,Icmp,60,60,8,00
1473407307998,0.0.0.0,0.0.0.0,Arp,60,60,6,00
1473407307999,0.0.0.0,0.0.0.0,Arp,60,60,6,00
1473407308003,61970,5355,Udp,72,72,8,00
1473407308003,52376,5355,Udp,72,72,8,00
1473407308032,60529,5355,Udp,72,72,8,00
1473407308032,58296,5355,Udp,72,72,8,00
1473407308034,0.0.0.0,0.0.0.0,Arp,60,60,6,00
1473407308038,0.0.0.0,0.0.0.0,Icmp,98,98,8,00
1473407308038,0.0.0.0,0.0.0.0,Arp,60,60,6,00
1473407308042,51845,5355,Udp,72,72,8,00
1473407308043,58109,5355,Udp,72,72,8,00
1473407308049,56193,5355,Udp,72,72,8,00
1473407308050,55815,5355,Udp,72,72,8,00
1473407308057,0.0.0.0,0.0.0.0,Arp,60,60,6,00
1473407308072,137,137,Udp,92,92,8,00
1473407308077,68,67,Udp,342,342,8,00
1473407308078,67,68,Udp,342,342,8,00
1473407308083,137,137,Udp,92,92,8,00
1473407308117,0.0.0.0,0.0.0.0,Arp,60,60,6,00
1473407308157,0.0.0.0,0.0.0.0,Icmp,60,60,8,00
1473407308171,137,137,Udp,92,92,8,00
1473407308200,0.0.0.0,0.0.0.0,Arp,60,60,6,00
1473407308200,0.0.0.0,0.0.0.0,Arp,60,60,6,00
1473407308210,0.0.0.0,0.0.0.0,Arp,60,60,6,00
1473407308212,0.0.0.0,0.0.0.0,Icmp,60,60,8,00
