time,source,destination,protocol,length,caplen,hlen,version,output 
1473941959534,"0.0.0.0","0.0.0.0",Icmp,60,60,8,0,0
1473941959534,"0.0.0.0","0.0.0.0",Icmp,60,60,8,0,0
1473941959539,"0.0.0.0","0.0.0.0",Icmp,60,60,8,0,0
1473941959541,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941959546,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941959588,"51547","3702",Udp,1184,1184,8,0,0
1473941959609,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941959666,"0.0.0.0","0.0.0.0",Icmp,98,98,8,0,0
1473941959667,"0.0.0.0","0.0.0.0",Icmp,98,98,8,0,0
1473941959679,"137","137",Udp,92,92,8,0,0
1473941959728,"64401","5355",Udp,74,74,8,0,0
1473941959746,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941959900,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941959990,"0.0.0.0","0.0.0.0",Icmp,60,60,8,0,0
1473941959991,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941960000,"137","137",Udp,92,92,8,0,0
1473941960000,"53117","5355",Udp,64,64,8,0,0
1473941960024,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941960036,"0.0.0.0","0.0.0.0",Icmp,60,60,8,0,0
1473941960040,"0.0.0.0","0.0.0.0",Icmp,60,60,8,0,0
1473941960051,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941960062,"50574","5355",Udp,95,95,8,0,0
1473941960087,"0.0.0.0","0.0.0.0",Icmp,98,98,8,0,0
1473941960104,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941960162,"50574","5355",Udp,95,95,8,0,0
1473941960172,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941960179,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941960199,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941960222,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941960222,"138","138",Udp,291,291,8,0,0
1473941960250,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941960263,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941960344,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941960364,"137","137",Udp,92,92,8,0,0
1473941960374,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941960382,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
