time,source,destination,protocol,length,caplen,hlen,version 
1473405125166,52542,1900,Udp,216,216,8,0
1473405125168,0.0.0.0,0.0.0.0,Arp,60,60,6,0
1473405125177,0.0.0.0,0.0.0.0,Arp,60,60,6,0
1473405125191,137,137,Udp,92,92,8,0
1473405125227,0.0.0.0,0.0.0.0,Arp,60,60,6,0
1473405125301,0.0.0.0,0.0.0.0,Arp,60,60,6,0
1473405125354,0.0.0.0,0.0.0.0,Arp,60,60,6,0
1473405125440,0.0.0.0,0.0.0.0,Arp,60,60,6,0
1473405125446,54029,1900,Udp,216,216,8,0
1473405125498,0.0.0.0,0.0.0.0,Arp,60,60,6,0
1473405125520,137,137,Udp,92,92,8,0
1473405125521,56055,5355,Udp,75,75,8,0
1473405125521,54403,5355,Udp,75,75,8,0
1473405125547,0.0.0.0,0.0.0.0,Arp,60,60,6,0
1473405125557,0.0.0.0,0.0.0.0,Arp,60,60,6,0
1473405125560,0.0.0.0,0.0.0.0,Icmp,60,60,8,0
1473405125560,0.0.0.0,0.0.0.0,Icmp,60,60,8,0
1473405125567,0.0.0.0,0.0.0.0,Arp,60,60,6,0
1473405125588,51543,1900,Udp,175,175,8,0
1473405125589,0.0.0.0,0.0.0.0,Arp,60,60,6,0
1473405125590,0.0.0.0,0.0.0.0,Icmp,98,98,8,0
1473405125672,0.0.0.0,0.0.0.0,Arp,60,60,6,0
1473405125681,0.0.0.0,0.0.0.0,Arp,60,60,6,0
1473405125700,0.0.0.0,0.0.0.0,Arp,60,60,6,0
1473405125727,0.0.0.0,0.0.0.0,Arp,60,60,6,0
1473405125777,0.0.0.0,0.0.0.0,Arp,60,60,6,0
1473405125794,0.0.0.0,0.0.0.0,Arp,60,60,6,0
1473405125820,0.0.0.0,0.0.0.0,Arp,60,60,6,0
1473405125856,0.0.0.0,0.0.0.0,Arp,60,60,6,0
1473405125857,0.0.0.0,0.0.0.0,Arp,60,60,6,0
1473405125857,0.0.0.0,0.0.0.0,Arp,60,60,6,0
1473405125859,0.0.0.0,0.0.0.0,Arp,60,60,6,0
1473405125873,63621,1900,Udp,175,175,8,0
1473405125885,0.0.0.0,0.0.0.0,Arp,60,60,6,0
1473405125890,0.0.0.0,0.0.0.0,Arp,60,60,6,0
