time,source,destination,protocol,length,caplen,hlen,version,output 
1474222954335,"53164","53",Udp,89,89,8,0,0
1474222954335,"56993","53",Udp,87,87,8,0,0
1474222954336,"54562","53",Udp,89,89,8,0,0
1474222954336,"52158","53",Udp,89,89,8,0,0
1474222954336,"55970","53",Udp,88,88,8,0,0
1474222954336,"60501","53",Udp,88,88,8,0,0
1474222954354,"53","53164",Udp,528,528,8,0,0
1474222954357,"53","56993",Udp,548,548,8,0,0
1474222954358,"53","54562",Udp,528,528,8,0,0
1474222954362,"53","52158",Udp,528,528,8,0,0
1474222954364,"53","55970",Udp,545,545,8,0,0
1474222954366,"53","60501",Udp,227,227,8,0,0
1474222954400,"443","51784",Tcp,66,66,8,0,0
1474222954401,"51784","443",Tcp,54,54,5,0,0
1474222954401,"443","51786",Tcp,66,66,8,0,0
1474222954401,"51786","443",Tcp,54,54,5,0,0
1474222954401,"443","51785",Tcp,66,66,8,0,0
1474222954402,"51785","443",Tcp,54,54,5,0,0
1474222954404,"443","51787",Tcp,66,66,8,0,0
1474222954404,"51787","443",Tcp,54,54,5,0,0
1474222954468,"443","51778",Tcp,60,60,5,0,0
1474222954474,"51784","443",Tcp,571,571,5,0,0
1474222954474,"51786","443",Tcp,571,571,5,0,0
1474222954475,"51785","443",Tcp,233,233,5,0,0
1474222954475,"51787","443",Tcp,571,571,5,0,0
1474222954476,"51788","443",Tcp,66,66,8,0,0
1474222954476,"51789","443",Tcp,66,66,8,0,0
1474222954476,"54562","53",Udp,89,89,8,0,0
1474222954476,"53164","53",Udp,89,89,8,0,0
1474222954477,"56993","53",Udp,87,87,8,0,0
1474222954477,"51790","443",Tcp,66,66,8,0,0
1474222954477,"64243","53",Udp,85,85,8,0,0
1474222954479,"51791","443",Tcp,66,66,8,0,0
1474222954480,"51792","443",Tcp,66,66,8,0,0
1474222954481,"51793","443",Tcp,66,66,8,0,0
1474222954508,"443","51789",Tcp,66,66,8,0,0
1474222954508,"51789","443",Tcp,54,54,5,0,0
1474222954512,"53","54562",Udp,528,528,8,0,0
1474222954516,"53","56993",Udp,548,548,8,0,0
1474222954516,"443","51790",Tcp,66,66,8,0,0
